n is 3
a1 a2 a3 
a1 a2 a3 
a3 a3 a3 

a1 a2 a3 
a2 a1 a3 
a3 a3 a3 

a1 a2 a3 
a2 a2 a2 
a1 a2 a3 

a1 a2 a3 
a2 a2 a2 
a2 a2 a2 

a1 a2 a3 
a2 a2 a2 
a3 a2 a1 

a1 a2 a3 
a2 a2 a2 
a3 a2 a2 

a1 a2 a3 
a2 a2 a2 
a3 a2 a3 

a1 a2 a3 
a2 a2 a2 
a3 a3 a3 

a1 a2 a3 
a2 a2 a3 
a2 a2 a3 

a1 a2 a3 
a2 a2 a3 
a3 a2 a3 

a1 a2 a3 
a2 a2 a3 
a3 a3 a2 

a1 a2 a3 
a2 a2 a3 
a3 a3 a3 

a1 a2 a3 
a2 a3 a1 
a3 a1 a2 

a1 a2 a3 
a2 a3 a2 
a3 a2 a3 

a1 a2 a3 
a2 a3 a3 
a3 a3 a3 

a1 a2 a3 
a3 a2 a3 
a3 a2 a3 

a1 a2 a3 
a3 a3 a3 
a3 a3 a3 

a1 a3 a3 
a1 a2 a3 
a1 a3 a3 

a1 a3 a3 
a1 a3 a3 
a1 a3 a3 

a1 a3 a3 
a2 a2 a2 
a3 a3 a3 

a1 a3 a3 
a2 a3 a3 
a3 a3 a3 

a1 a3 a3 
a3 a1 a1 
a3 a1 a1 

a1 a3 a3 
a3 a2 a3 
a3 a3 a3 

a1 a3 a3 
a3 a3 a3 
a3 a3 a3 

a2 a1 a1 
a1 a2 a2 
a1 a2 a2 

a2 a1 a1 
a1 a2 a2 
a1 a2 a3 

a2 a1 a2 
a1 a2 a1 
a2 a1 a2 

a2 a1 a3 
a1 a2 a3 
a3 a3 a3 

a2 a2 a1 
a2 a2 a2 
a1 a2 a3 

a2 a2 a1 
a2 a2 a2 
a2 a2 a3 

a2 a2 a2 
a2 a2 a2 
a1 a2 a3 

a2 a2 a2 
a2 a2 a2 
a2 a2 a1 

a2 a2 a2 
a2 a2 a2 
a2 a2 a2 

a2 a2 a2 
a2 a2 a2 
a2 a2 a3 

a2 a2 a2 
a2 a2 a2 
a3 a3 a3 

a2 a2 a3 
a2 a2 a3 
a2 a2 a3 

a2 a2 a3 
a2 a2 a3 
a3 a3 a2 

a2 a2 a3 
a2 a2 a3 
a3 a3 a3 

a2 a3 a1 
a3 a1 a2 
a1 a2 a3 

a2 a3 a2 
a3 a2 a3 
a2 a3 a2 

a2 a3 a3 
a3 a3 a3 
a3 a3 a3 

a3 a1 a1 
a1 a2 a3 
a1 a3 a3 

a3 a1 a1 
a1 a3 a3 
a1 a3 a3 

a3 a1 a2 
a1 a2 a3 
a2 a3 a1 

a3 a1 a3 
a1 a2 a3 
a3 a3 a3 

a3 a1 a3 
a3 a2 a3 
a3 a3 a3 

a3 a2 a1 
a2 a2 a2 
a1 a2 a3 

a3 a2 a2 
a2 a2 a2 
a2 a2 a2 

a3 a2 a3 
a2 a2 a2 
a3 a2 a3 

a3 a2 a3 
a2 a3 a2 
a3 a2 a3 

a3 a2 a3 
a3 a2 a3 
a3 a2 a3 

a3 a3 a1 
a3 a3 a1 
a1 a1 a3 

a3 a3 a2 
a3 a3 a2 
a2 a2 a3 

a3 a3 a3 
a1 a2 a3 
a3 a3 a3 

a3 a3 a3 
a2 a2 a2 
a3 a3 a3 

a3 a3 a3 
a3 a1 a3 
a3 a3 a3 

a3 a3 a3 
a3 a2 a3 
a3 a3 a3 

a3 a3 a3 
a3 a3 a3 
a3 a3 a3 

The number of associative operations on the given set is 113
